GBAC,country,host,collection_date,taxon,ORF1b-nt17,ORF2-aa25,color_orf1b16,code,1bcolor,2color
AB823731/BTN/human/2010/MAstV6,BTN,human,2010.0,MAstV6,20,18,#7f3eda,a,#BE38E9,#D82FEC
AB823732/BTN/human/2010/MAstV6,BTN,human,2010.0,MAstV6,20,18,#7830dc,aa,#BE38E9,#D82FEC
AF260508/NA/human/NA/MAstV1,,human,,MAstV1,13,0,#57e457,aaa,#7BEA3B,#43B144
AY179509/NA/mink/NA/MAstV10,,mink,,MAstV10,31,10,#000000,aaaa,#F1AA42,#648FAE
AY720891/NA/human/NA/MAstV1,,human,,MAstV1,13,0,#71df71,aaab,#7BEA3B,#43B144
AY720892/NA/human/NA/MAstV1,,human,,MAstV1,13,0,#78de78,aaac,#7BEA3B,#43B144
DQ028633/BRA/human/NA/MAstV1,BRA,human,,MAstV1,13,0,#1ef41e,aaad,#7BEA3B,#43B144
DQ070852/BRA/human/NA/MAstV1,BRA,human,,MAstV1,13,0,#30ef30,aaae,#7BEA3B,#43B144
DQ344027/CHN/human/NA/MAstV1,CHN,human,,MAstV1,13,0,#5be35b,aab,#7BEA3B,#43B144
FJ402983/USA/human/2008/MAstV6,USA,human,2008.0,MAstV6,20,18,#5a0cc6,aaba,#BE38E9,#D82FEC
FJ755402/CHN/human/2005/MAstV1,CHN,human,2005.0,MAstV1,13,0,#3ceb3c,aabb,#7BEA3B,#43B144
FJ755403/CHN/human/2006/MAstV1,CHN,human,2006.0,MAstV1,13,0,#75de75,aabc,#7BEA3B,#43B144
FJ755404/CHN/human/2007/MAstV1,CHN,human,2007.0,MAstV1,13,0,#38ec38,aabd,#7BEA3B,#43B144
FJ755405/CHN/human/2007/MAstV1,CHN,human,2007.0,MAstV1,13,0,#3aec3a,aabe,#7BEA3B,#43B144
GQ495608/CHN/human/2007/MAstV1,CHN,human,2007.0,MAstV1,13,0,#1af61a,aac,#7BEA3B,#43B144
GQ502193/USA/human/2009/MAstV8,USA,human,2009.0,MAstV8,27,13,#d7054c,aaca,#D1E782,#6CDC42
GQ891990/USA/human/2007/MAstV9,USA,human,2007.0,MAstV9,26,12,#c2dbbd,aacb,#6BE9AD,#F186B8
GQ901902/RUS/human/2009/MAstV1,RUS,human,2009.0,MAstV1,13,0,#17f717,aacc,#7BEA3B,#43B144
GU223905/RUS/human/2003/MAstV1,RUS,human,2003.0,MAstV1,13,0,#0efa0e,aacd,#7BEA3B,#43B144
GU732187/RUS/human/2008/MAstV1,RUS,human,2008.0,MAstV1,13,0,#0cfb0c,aace,#7BEA3B,#43B144
GU985458/SWE/mink/NA/MAstV10,SWE,mink,,MAstV10,31,9,#000000,aad,#F1AA42,#5E9C89
HM237363/NA/human/NA/MAstV1,,human,,MAstV1,13,0,#13f813,aada,#7BEA3B,#43B144
HM450380/HKG/human/2005/MAstV6,HKG,human,2005.0,MAstV6,20,18,#7121df,aadb,#BE38E9,#D82FEC
HQ398856/HUN/human/2010/MAstV1,HUN,human,2010.0,MAstV1,13,0,#98da98,aadc,#7BEA3B,#43B144
HQ916313/HKG/cow/NA/NA,HKG,cow,,,2,62,#dbbdd4,aadd,#E3EEDD,#E9A2E8
HQ916314/HKG/cow/NA/NA,HKG,cow,,,4,34,#000000,aade,#DE7174,#45EEB9
