GBAC,isolate,country,host,collection_date,taxon,uclust17nt,mmseq17nt,uclust7aa,mmseq7aa
NC_004579/NA/NA/NA/NA/MAstV10,,,mink,,MAstV10,19,7,47,42
NC_043098/NA/LD71/bat/NA/MAstV12,,LD71,bat,,MAstV12,30,41,37,43
NC_043100/NA/LD77/bat/NA/MAstV15,,LD77,bat,,MAstV15,22,44,30,46
NC_043102/CHN/AFCD337/bat/NA/MAstV18,,AFCD337,bat,,MAstV18,45,45,48,47
NC_043103/NA/LD38/bat/NA/MAstV19,,LD38,bat,,MAstV19,49,46,35,48
EU847146/NA/WCF140/bat/NA/NA,,WCF140,bat,,,23,12,41,22
EU847147/NA/WCF98/bat/NA/NA,,WCF98,bat,,,56,14,38,24
EU847148/NA/WCF90/bat/NA/NA,,WCF90,bat,,,35,22,58,31
EU847149/NA/WCF4/bat/NA/NA,,WCF4,bat,,,2,16,49,26
EU847150/NA/AFCD82/bat/NA/NA,,AFCD82,bat,,,3,19,50,28
EU847151/NA/AFCD77/bat/NA/NA,,AFCD77,bat,,,4,23,39,30
EU847152/NA/AFCD74/bat/NA/NA,,AFCD74,bat,,,35,22,58,31
EU847153/NA/AFCD68/bat/NA/NA,,AFCD68,bat,,,24,23,42,34
EU847154/NA/WCF214/bat/NA/NA,,WCF214,bat,,,36,24,43,35
FJ571068/NA/LS11/bat/NA/NA,,LS11,bat,,,40,28,44,39
MW450837/NA/BF2-astro-YN-CHN-2020/bat/NA/NA,,BF2-astro-YN-CHN-2020,bat,,,42,20,59,29
NC_043096/NA/NA/bottlenose-dolphin/NA/MAstV7,,,bottlenose-dolphin,,MAstV7,48,37,57,6
MW853971/NA/AstroV-HMU-1/california-sea-lion/NA/MAstV11,,AstroV-HMU-1,california-sea-lion,,MAstV11,28,11,56,21
NC_027711/NA/DcAstV-274/camel/NA/NA,,DcAstV-274,camel,,,9,39,20,37
KR868721/NA/DcAstV-169/camel/NA/NA,,DcAstV-169,camel,,,9,39,20,37
KR868722/NA/DcAstV-64/camel/NA/NA,,DcAstV-64,camel,,,9,39,20,37
KR868723/NA/DcAstV-135/camel/NA/NA,,DcAstV-135,camel,,,9,39,20,37
OP076744/NA/DcAstV-Jd70-KSA-2014/camel/NA/NA,,DcAstV-Jd70-KSA-2014,camel,,,9,39,20,37
OP076746/NA/DcAstV-Jd76-KSA-2014/camel/NA/NA,,DcAstV-Jd76-KSA-2014,camel,,,13,39,2,12
OP076747/NA/DcAstV-Jd53-KSA-2014/camel/NA/NA,,DcAstV-Jd53-KSA-2014,camel,,,13,39,2,12
OP076748/NA/DcAstV-Jd57-KSA-2014/camel/NA/NA,,DcAstV-Jd57-KSA-2014,camel,,,9,39,20,37
OP076749/NA/DcAstV-Jd67-KSA-2014/camel/NA/NA,,DcAstV-Jd67-KSA-2014,camel,,,9,39,20,37
OP076750/NA/DcAstV-Jd74-KSA-2014/camel/NA/NA,,DcAstV-Jd74-KSA-2014,camel,,,9,39,20,37
OP076765/NA/BcAstV-NMG31-CHN-2015/camel/NA/NA,,BcAstV-NMG31-CHN-2015,camel,,,13,39,2,12
OP076766/NA/BcAstV-NMG59-CHN-2015/camel/NA/NA,,BcAstV-NMG59-CHN-2015,camel,,,9,39,20,37
NC_022249/NA/NA/cat/NA/MAstV2,,,cat,,MAstV2,8,25,4,9
NC_024701/NA/FAstV-D1/cat/NA/NA,,FAstV-D1,cat,,,0,51,32,53
KF374704/NA/Viseu/cat/NA/MAstV2,,Viseu,cat,,MAstV2,8,25,4,9
KM017742/NA/FAstV-D2/cat/NA/MAstV2,,FAstV-D2,cat,,MAstV2,8,25,4,9
KM017743/NA/FAstV-D3/cat/NA/MAstV2,,FAstV-D3,cat,,MAstV2,8,25,4,9
MK671306/NA/MAV2-17CC0308/cat/NA/MAstV2,,MAV2-17CC0308,cat,,MAstV2,8,25,4,9
MK671307/NA/MAV2-17HRB0511/cat/NA/MAstV2,,MAV2-17HRB0511,cat,,MAstV2,8,25,4,9
MK671308/NA/MAV2-17JL0318/cat/NA/MAstV2,,MAV2-17JL0318,cat,,MAstV2,8,25,4,9
MK671309/NA/MAV2-17SP0801/cat/NA/MAstV2,,MAV2-17SP0801,cat,,MAstV2,8,25,4,9
MK671310/NA/MAV2-18CC0502/cat/NA/MAstV2,,MAV2-18CC0502,cat,,MAstV2,8,25,4,9
MK671311/NA/MAV2-18JL0310/cat/NA/MAstV2,,MAV2-18JL0310,cat,,MAstV2,8,25,4,9
